,Id,degree,group
262,1212755861266788352,4,8
263,2168577141,4,0
264,1744034167,4,2
265,739800204803747840,4,27
266,1249829136564195328,4,3
267,1213318918418227200,4,0
268,1251594631793586176,4,2
269,4663353514,4,2
270,970082430689402880,4,27
271,732963043349561344,4,7
272,1053029946426318848,4,16
273,1643387941,4,27
274,1247951386425294850,4,3
275,1266200468109262848,4,3
276,142710389,4,21
277,1338181484713226240,4,3
278,1059776096,4,3
279,1348892911686053888,4,3
280,346024684,4,3
281,263183132,4,21
282,1194773674211119104,4,27
283,1096661319397396480,4,21
284,1195486936439427072,4,16
285,1157652143089836034,4,21
286,750627685865521152,4,21
287,2892419643,4,21
288,2391465231,4,27
289,1137742243287195649,4,21
290,82721258,4,21
291,3958345037,4,12
292,1282475537995378688,4,27
293,1271775837470285825,4,20
294,915705478512091141,4,16
295,1009347495565123584,4,27
296,3473511741,4,16
297,1039986488627355650,4,21
298,1035926988,4,16
299,943103516154966016,4,21
300,1070579878335053824,4,21
301,1022161123636899842,4,21
302,1227629644553359361,4,10
303,1153805754534699008,4,12
304,897135121077325828,4,12
305,1148604452896727041,4,20
306,893418315032539136,4,27
307,1224354095252811777,4,19
308,994919392810078208,4,27
309,1251654177593470977,4,27
310,397145782,4,19
311,1364870864009912322,4,21
312,2326074756,4,27
313,1227261077030916098,4,27
314,1191966639941652480,4,27
315,1123407172354887681,4,27
316,908002634925297664,4,27
317,1221884908999716865,4,19
318,984718860338286592,4,9
319,812749758,4,27
320,1300699468074029056,4,27
321,1312034795292176385,4,0
322,117203402,4,27
323,1110979920149270529,4,27
324,1282023444314492928,4,27
325,1216485054853066752,4,19
326,1241847664406388738,4,20
327,807972410184073216,4,27
328,2956290063,4,9
329,1219916539085905920,4,27
330,212260731,4,21
331,889674363284357120,4,0
332,704568423,4,0
333,1225514684150943745,4,9
334,1197059986846822401,4,20
335,820164871551520769,4,27
336,1117320985,4,19
337,3361120601,4,27
338,915334879084195841,4,27
339,3428929625,4,21
340,1111319767791620096,4,0
341,3930924016,4,27
342,1111811154643468288,4,19
343,472802647,4,0
344,1102117524068618240,4,27
345,742412854561771520,4,21
346,1354099790926254080,4,7
347,1032561473732657152,4,21
348,1283935761843261441,4,21
349,1233080170657067008,4,26
350,1345359375200825345,4,17
351,717277252,4,27
352,1313837315932987394,4,27
353,1364847642715521027,4,14
354,1063448644463017985,4,26
355,1120309938021122050,4,27
356,946733697306329088,4,14
357,1138028746370408448,4,11
358,1344674303992803334,4,5
359,1214527620932657153,4,16
360,1321207124119199751,4,27
361,1354881770123128834,4,11
362,1332081614369804288,4,5
363,1120713558721990656,4,4
364,1274118172057243648,4,23
365,1256971423391854599,4,27
366,1208193123366686720,4,27
367,1322602786652127233,4,26
368,705659953370013696,4,26
369,1322499777532231681,4,27
370,1236767899802636288,4,27
371,1225466574448009225,4,14
372,1283461124420239360,4,5
373,374393648,4,27
374,1234775254163173377,4,21
375,1301466551154073600,4,5
376,1176190577018363905,4,5
377,1202170486450511873,4,25
378,1242779627799674881,4,19
379,1243697988503056384,4,26
380,963492052532187136,4,14
381,1070773378074722304,4,19
382,1226300622200287233,4,27
383,980459000432152577,4,0
384,1212761022429155328,4,21
385,915474001287315456,4,27
386,1349936049271828480,4,17
387,1350340290012442627,4,26
388,1335711029804879873,4,26
389,1275413907881037824,4,11
390,1099974623888855040,4,17
391,1279043866168082432,4,17
392,1321871141808590851,4,19
393,1203677277973860354,4,19
394,1283145344805670916,4,19
395,995739098726961152,4,19
396,1059700017420791808,4,19
397,1318088412633628672,4,26
398,955695544474722304,4,19
399,1319881864971231232,4,26
400,914824244126765056,4,27
401,953573569,4,19
402,1264489304035901440,4,27
403,1267844229914677248,4,19
404,1051765369042493440,4,27
405,2412063788,4,19
406,341315250,4,5
407,323907307,4,26
408,1164504501862248449,4,19
409,1346872197982408709,4,27
410,773460507898572804,4,27
411,864968019767943169,4,21
412,1192937690972508161,4,20
413,2931749429,4,20
414,2255703691,4,0
415,206352208,4,4
416,1155382635071463426,4,27
417,1355617515737653248,4,7
418,1154120054725840897,4,27
419,1178045467986399232,4,4
420,979104066247839744,4,0
421,884023098902794240,4,24
422,1163765258206535680,4,27
423,2296433043,4,19
424,716363346212204544,4,19
425,2621125229,4,19
426,1082676026780647425,4,27
427,1332268938252738561,4,19
428,1322189092591947783,4,19
429,1314588309587456000,4,27
430,1279172517693919233,4,27
431,1290469088368746497,4,0
432,1290793831638630402,4,27
433,844861581129240580,4,27
434,1125319506321133569,4,27
435,1300799410566201344,4,27
436,1106690785582465024,4,26
437,1261610362463453184,4,4
438,1349677934961942528,4,26
439,993306554135965696,4,26
440,295807707,4,22
441,882189115348979712,4,25
442,1294333733596737539,4,26
443,1321183239097241601,4,26
444,1200283199609491457,4,7
445,1176962022463983616,4,7
446,840641907797688324,3,21
447,887015743,3,21
448,1276297530565894144,3,21
449,904547534810619904,3,21
450,1301740152918863872,3,21
451,3100797190,3,21
452,1243104939041271808,3,21
453,3216861395,3,21
454,1128595089331298305,3,21
455,2676229631,3,21
456,1148384535635210240,3,21
457,1053796910673379333,3,21
458,1330207782,3,21
459,1186656463827165184,3,21
460,1059930851981574146,3,21
461,1003296371829506054,3,21
462,938520381480144896,3,14
463,1313203121263382531,3,3
464,1002891078394052608,3,3
465,1356640824461787144,3,13
466,1244388210589011968,3,21
467,1170954954091220992,3,25
468,1358476758786441216,3,11
469,3429997967,3,8
470,1196486291053002752,3,5
471,1114581840365522944,3,3
472,1187453846676758529,3,3
473,1048219911124934656,3,14
474,151841587,3,19
475,710429203938856960,3,0
476,1319919947921895425,3,27
477,722469060806643712,3,3
478,817389093978075138,3,21
479,386764935,3,9
480,1236062722313392128,3,22
481,1068173264239906816,3,1
482,995051366946164736,3,27
483,1284051884295237633,3,27
484,1330813367322353665,3,1
485,386767528,3,2
486,1226245421351276551,3,27
487,1330867991966314496,3,27
488,1049114155993747458,3,11
489,547122029,3,3
490,105409197,3,3
491,1030468807,3,4
492,1012435231146676226,3,19
493,2614020584,3,3
494,1012294553515249664,3,0
495,2880298134,3,26
496,2762328376,3,5
497,761233323289153537,3,19
498,1927213699,3,3
499,771321816627503104,3,1
500,1003951481475780608,3,4
501,1251564334746144774,3,6
502,799583854055030785,3,27
503,1125833937195032576,3,22
504,1080451638568075265,3,27
505,1054687485408747520,3,0
506,1158348951193554945,3,2
507,1186036600444207105,3,1
508,1070860546373836800,3,4
509,1258289000164528128,3,1
510,1293177894496112646,3,27
511,1293917750084083712,3,13
512,896187667850907648,3,27
513,1251319314470371330,3,1
514,1139986820094222336,3,9
515,1053651266319142913,3,27
516,725022830581190657,3,16
517,17914106,3,18
518,956110353527721984,3,27
519,716755454458732544,3,1
520,473958707,3,4
521,2238099501,3,0
522,906493069234786304,3,2
523,772769845427445761,3,3
524,1015118966,3,3
525,359207750,3,21
526,1097721358413373441,3,23
527,711911918,3,3
528,162322530,3,3
529,818535587858804738,3,8
530,907422171655491590,3,27
531,4119563529,3,2
532,315313036,3,14
533,1160529026282340353,3,3
534,1194112262375706624,3,23
535,3103116610,3,20
536,1000155423427657728,3,7
537,1109850977090314241,3,5
538,720205750405095424,3,19
539,1199077816366706688,3,3
540,982963938265567232,3,27
541,4694228094,3,19
542,1147300530693312512,3,27
543,728185453812318208,3,27
544,1112822256307191809,3,23
545,945720923000320000,3,19
546,1193241684559171587,3,13
547,803645345817366528,3,19
548,1157373041149657088,3,3
549,1155521192687804416,3,8
550,1081193601726627840,3,9
551,2342395553,3,19
552,1054660826215395328,3,5
553,110947305,3,24
554,1168284482622971907,3,14
555,1144301204396290053,3,8
556,1065548316501573633,3,3
557,960402484761067520,3,12
558,867733892110929920,3,23
559,1063928500149731330,3,3
560,230379726,3,21
561,866578822543572993,3,20
562,948308472172511232,3,0
563,1289882188297785350,3,16
564,1227063614571532293,3,20
565,1365064704570388484,3,12
566,1253476536096784385,3,2
567,1219940665339019269,3,2
568,1223541788553764865,3,27
569,1242764942593441793,3,2
570,1196305358022750208,3,0
571,1310338041047900161,3,27
572,157371252,3,3
573,782910085051932672,3,27
574,1262050934,3,19
575,1352665195097825287,3,16
576,1317766631326650371,3,2
577,2848355873,3,2
578,4898779654,3,27
579,710425792363237377,3,27
580,1153131625653383168,3,21
581,1052191453865111554,3,2
582,373883060,3,16
583,1230494720754946049,3,2
584,1295966085666222083,3,2
585,1197102006122565635,3,21
586,1011968944394199041,3,2
587,820015703298285570,3,16
588,1145247947254370304,3,27
589,4758683237,3,21
590,1326469963255853057,3,16
591,1257002834555473920,3,27
592,1181477209,3,2
593,1302708905500434439,3,27
594,1240540997072928768,3,0
595,712576694,3,2
596,1338242216066736129,3,0
597,1270041318627164161,3,27
598,1145064498761482242,3,2
599,1219602824314675205,3,2
600,808212937844412416,3,2
601,1934674784,3,2
602,1354770898788757506,3,16
603,861910843751104513,3,2
604,1235936186524368896,3,27
605,751130925770108928,3,2
606,1259158228396658689,3,27
607,876273488604135424,3,0
608,1168945381662699523,3,2
609,1173640415028887553,3,16
610,366930338,3,2
611,1317196079713165314,3,20
612,1004427708552679425,3,2
613,927799337383538688,3,2
614,2955402286,3,2
615,757229324319719424,3,2
616,1184167866364563462,3,16
617,923295116227416065,3,2
618,1051149656808480768,3,2
619,1207252486299492354,3,2
620,1017943307425640448,3,16
621,1038452071534678016,3,21
622,914304586709700608,3,27
623,1026516970156568578,3,2
